A1,A2,A3,A4,A5,A6,A7,A8,A9,,,,,,,,
Test suite generation, Smart contract, K+1 test pattern, AdapT design pattern,,,,,,,,,,,,,
IoT networks, Simulation framework, Intrusion detection, Attack detection models, Experimental testbed, Machine learning for security, Models benchmarking,,,,,,,,,,
Zero-code image segmentation, Open-source toolkit, AI-driven annotation, PyTorch-based models,,,,,,,,,,,,,
Portfolio selection, Multi-objective optimization with, metaheuristics, Real-time financial data, jMetal software tool,,,,,,,,,,,,
Energy flexibility, Residential buildings, Machine learning, BiLSTM, Demand response, Aggregated forecasting, Disaggregated forecasting,,,,,,,,,,
Muscle fatigue, Electromyography (EMG), Machine learning, Support Vector Machine (SVM), Wearable technology, Biomechanics,,,,,,,,,,,
Geostatistics, Simulations, Spectral simulation, Sequential gaussian, TOUGH, Sensitivity analysis,,,,,,,,,,,
Wave energy converter, Power systems, Software, Integration, Renewable energy, Grid simulation, Open source,,,,,,,,,,
Hardware profiling, CNN workload performance profiling, GEMM, GEM5, Performance analysis,,,,,,,,,,,,
Reinforced concrete, Deterioration modelling, Probabilistic prediction, Service life, Infrastructure management, Python,,,,,,,,,,,
ROV, ArduSub, Matlab, PyMavlink, Control system, PID,,,,,,,,,,,
Petri net, Key performance indicator, Conformance checking, Event log,,,,,,,,,,,,,
Dataset generation, Malware behavior, Execution traces, Malware classification,,,,,,,,,,,,,
Image reconstruction, SPECT, PET, Medical imaging,,,,,,,,,,,,,
Biofilm, Computational fluid dynamics, Porous media, Bio-clogging, OpenFOAM,,,,,,,,,,,,
Software testing, Regression testing, Software quality, Python,,,,,,,,,,,,,
POS tagging, Grammatical category, Low-resource language, Part of speech tagging,,,,,,,,,,,,,
Precision agriculture, Yield monitor, Sentinel, Vegetation index, Yield map,,,,,,,,,,,,
Propensity score matching, satellite data, webtool, deforestation,,,,,,,,,,,,,
Scientific data management, Fusion data, Web service API,,,,,,,,,,,,,,
OpenSeesPy, OpenSees, Nonlinear structural analysis, Incremental dynamic analysis, Python,,,,,,,,,,,,
Battery modelling, P2D, SPM, Finite element method,,,,,,,,,,,,,
Multi-objective optimization, Metaheuristics auto-configuration and, auto-design, Framework, jMetal,,,,,,,,,,,,
Distributed learning, Drone tracking, Reinforcement learning, Proximal Policy Optimization,,,,,,,,,,,,,
Bibliometrics, Science mapping, Tech-mining studies, Systematic mapping study, Systematic literature review,,,,,,,,,,,,
Text annotation, Annotation software, Annotation evaluation, Argument extraction, Argument mining,,,,,,,,,,,,
R package, Dynamic mixtures, Quasi-Bayesian,,,,,,,,,,,,,,
Rank aggregation, Library, FLAGR, PyFLAGR, Python, C plus plus,,,,,,,,,,,
Mesoscopic modeling, Heterogeneous material, Random aggregate, Concrete,,,,,,,,,,,,,
Programming, Agriculture, Soil fertility, Crop nutrition,,,,,,,,,,,,,
Geographically weighted, Geographically weighted analysis, Spatial heterogeneity, Geographically weighted regression, Geographically weighted principal, component analysis, Discriminant geographically weighted, analysis,,,,,,,,,
Interactive genetic algorithm, Java program language, Algorithm framework, Template design pattern, Online design,,,,,,,,,,,,
Contiki-NG, Internet of Things, Resource-Constrained Devices,,,,,,,,,,,,,,
Optimization, Heat sector, Bioenergy, Uncertainty assessment,,,,,,,,,,,,,
Mechanochemistry, Molecular simulations, Quantum chemistry, Atomic simulation environment, Potential energy surface,,,,,,,,,,,,
Causality detection, Time-delayed neural network, Time-series,,,,,,,,,,,,,,
Liquid helium, Nanodroplets, Mathematica, Thermochemistry,,,,,,,,,,,,,
Speaker recognition, PyTorch, Deep learning,,,,,,,,,,,,,,
Real-time simulation, Code generation, High performance computing, High level synthesis, Power electronics,,,,,,,,,,,,
Network analysis, Spatial network analysis, GIS,,,,,,,,,,,,,,
cardiomyocytes, Shortening, Edge detection, Canny method,,,,,,,,,,,,,
Hyperparameter optimization, Machine learning, Deep neural networks,,,,,,,,,,,,,,
Data-driven modal decomposition, Multiresolution analysis, Multiscale Proper Orthogonal, Decomposition,,,,,,,,,,,,,
Computational Science and Engineering (CSE), Dataflow, Provenance, Computational applications, Data analysis,,,,,,,,,,,,
Ocular image, Optical Coherence Tomography (OCT), Image processing,,,,,,,,,,,,,,
Moment-curvature section analysis, Ultra-high performance concrete, High-strength steel, Prestressing,,,,,,,,,,,,,
Image recognition, Cell shape, Red blood cell, Erythrocyte,,,,,,,,,,,,,
Genetic code, Analysis, Comma free, Binary dichotomic algorithm,,,,,,,,,,,,,
MergeBathy, Bathymetry, Digital elevation models, Software, Tool, Modeling,,,,,,,,,,,
Soil erosion, Fatty acids, Soil apportionment, CSSI,,,,,,,,,,,,,
Bio-economic model, Fleet dynamics, Fisheries management, Impact assessment, Management strategy evaluation,,,,,,,,,,,,
Web crawler, Web scraper, R package, Parallel crawling, Web mining, Data collection,,,,,,,,,,,
Fortran namelist, XML, Web browser, JavaScript,,,,,,,,,,,,,
Time Serie forecast, Forecast emulation, Markov Chain Monte Carlo, Control Engineering,,,,,,,,,,,,,
Differences-in-differences, Dynamic effects, Dose-response, Staggered adoption,,,,,,,,,,,,,
